C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C27;C28;C29;C30;C31;C32;C33;C34;C35;C36;C37;C38;C39;C40;C41;C42;C43;C44;C45;C46;C47;C48;C49;C50;C51;C52;C53;C54;C55;C56;C57;C58;C59;C60;C61;C62;C63;C64;C65;C66;C67;C68;C69;C70;C71;C72;C73;C74;C75;C76;C77;C78;C79;C80;C81;C82;C83;C84;C85;C86;C87;C88;C89;C90;C91;C92;C93;C94;C95;C96;C97;C98;C99;C100;
206.26592356687897;88;0.15992496189471217;185.843853820598;126.31102613129381;157.82608695652175;177;240.22093730979915;226.8517118252468;226.9472182596291;60.131506849315066;101;8.37503823799327;123;155;233;239.346677206256;2.5808130081300815;0.0;95;149.4670542635659;0.0;210;145.36977491961414;127.65919732441472;216;0.40021516944593866;0.2164048865619546;199.1834212840809;252;139.10127226463104;125.10599334073252;169.7588215142172;143.96682718031033;121;7.0220868240670224;0.0;121.22905027932961;221.13300492610838;16.81081081081081;39;243;28.983009708737864;180;238;124;212.8230563002681;169.70169851380044;0.5693893735130848;26.42828282828283;50;4.72225869993434;0.0;0.3822784810126582;131.50736126840317;210.90452261306532;153.81168057210965;0.0;195.57564224548048;5;0.3731431966726084;0.0;108;244;119.63907455012854;0.21665695981362842;15;1.68659793814433;217.45238095238096;191;0.0;204.54967741935485;0.16711590296495957;83;163;183;123.72626931567329;228;193.66464155528553;228;217.04884318766068;161.130550918197;171;174.91976744186047;235.49439775910363;224.78438661710038;80;202.44854986094558;143;131;108;22.018075491759703;94;1.335609756097561;142.06753246753246;243;22.536585365853657;206.10775862068965;85.51712707182321;230.71748878923768;
207.94426751592357;129;0.1976785086176574;185.843853820598;128.64563416188656;163.43338008415148;251;235.78027997565428;227.99474900231044;227.00820256776035;112.27945205479452;185;8.37503823799327;136;29;78;232.7591892044492;2.5808130081300815;0.0;187;158.28682170542635;0.0;190;145.4887459807074;132.2173913043478;98;0.8133405056481979;0.4328097731239092;207.14890061565524;192;149.57048346055979;213.8984461709212;183.19664268585132;164.80684858212948;3;7.0220868240670224;0.0;37.638733705772815;223.83251231527095;0.0;48;0;38.46116504854369;240;197;138;0.0;170.58492569002124;0.5693893735130848;10.02020202020202;76;5.617859487852922;0.0;0.3822784810126582;157.1766704416761;211.53391959798995;160.25029797377832;0.0;177.99000951474787;96;0.3977025153495742;0.0;173;170;179.03856041131107;0.21665695981362842;249;1.68659793814433;226.65079365079364;154;0.0;142.3261935483871;0.033423180592991916;242;209;245;132.6291390728477;34;187.63639125151883;219;226.573264781491;165.02170283806345;163;126.53720930232558;232.11484593837534;224.78438661710038;251;219.38034697391075;194;99;207;111.04040404040404;4;1.1356097560975609;0.0;190;14.113821138211382;204.99137931034483;87.91160220994475;233.97645739910314;
205.87101910828025;239;0.3953570172353148;185.843853820598;189.24282982791587;183.54417952314165;127;235.74558734023128;224.0810754043268;223.57738944365192;109.93424657534247;44;0.0;247;34;118;238.20639715431088;0.0;217.4952380952381;207;146.37209302325581;0.0;194;144.65594855305466;129.00802675585285;18;6.901022054868209;0.0;203.3098944591029;23;127.50229007633588;139.1509433962264;172.44604316546761;152.62600321027287;205;219.26047220106625;211.64395306859205;142.60335195530726;216.09078114004222;168.9065010956903;76;152;130.64805825242718;91;53;85;227.49329758713137;183.5456475583864;220.99444885011894;148.8060606060606;9;135.42547603414314;0.0;0.0;0.0;204.74748743718592;151.78307508939213;0.0;206.41436726926736;149;0.7312339077044959;0.0;241;96;124.28174807197944;0.21665695981362842;86;206.95051546391753;0.0;47;221.06142322097378;216.54606451612904;10.929380053908355;240;11;254;123.72626931567329;50;197.33140947752128;24;217.04884318766068;168.86143572621035;53;194.78662790697675;216.5513538748833;118.0185873605948;187;131.79949675539663;39;16;166;0.32961190855927697;91;185.40975609756097;161.0961038961039;167;227.65853658536585;205.94827586206895;17.76243093922652;234.87107623318386;
213.05891719745222;42;0.3662797514362762;185.843853820598;126.33460803059273;175.4095371669004;253;240.18624467437616;227.57929006511236;230.89087018544936;60.131506849315066;64;0.0;229;38;140;240.4671390661171;0.0;216.85714285714286;3;148.59496124031008;0.0;168;145.36977491961414;125.83043478260869;27;6.285637439483593;0.2164048865619546;198.86292875989446;5;144.1852417302799;126.33795782463929;171.4573484069887;144.44194756554307;20;226.46610814927647;215.3490523465704;124.0;221.13300492610838;18.531775018261506;13;227;126.55582524271844;147;226;249;212.8230563002681;184.5488322717622;221.08485329103885;138.57373737373737;95;119.96060407091267;0.0;0.0;147.10192525481312;209.23115577889448;148.1668653158522;0.0;199.6593720266413;98;0.7019211725094078;0.0;192;7;119.63907455012854;0.21665695981362842;254;217.02061855670104;0.0;139;230.83370786516855;204.72154838709676;0.13369272237196766;2;186;161;123.72626931567329;234;194.90097205346294;219;217.04884318766068;162.63772954924875;67;174.53255813953487;235.49439775910363;117.74349442379182;242;204.9867567209641;87;109;157;26.995215311004785;22;194.55609756097562;142.06753246753246;1;200.58536585365854;205.94827586206895;22.009944751381216;234.8071748878924;
214.6464968152866;4;0.43006214093094147;185.843853820598;128.66921606118547;180.7054698457223;133;240.18624467437616;228.7103549674438;232.25285306704708;112.27945205479452;156;0.0;170;250;248;233.69168878098358;0.0;213.77777777777777;15;157.5140503875969;0.0;33;145.4887459807074;127.81471571906354;208;7.3259817105970955;0.4328097731239092;207.33927000879507;140;155.8972010178117;214.02164261931188;184.8951695786228;165.28196896736222;23;225.62376237623764;216.73443140794222;40.4096834264432;223.83251231527095;0.0;207;239;141.87135922330097;220;128;192;0.0;185.43205944798302;221.13005551149882;136.06868686868688;241;143.03545633617858;0.0;0.0;172.77123442808607;209.8605527638191;154.60548271752086;0.0;184.38915318744054;240;0.7264804911863736;0.0;118;128;189.31105398457584;0.21665695981362842;194;203.17319587628867;0.0;123;227.34157303370787;141.19948387096775;2.239353099730458;226;23;87;123.8896247240618;149;190.4462332928311;139;226.573264781491;166.5288814691152;182;126.53720930232558;232.11484593837534;117.74349442379182;169;220.85458879618594;153;90;27;131.19617224880383;241;188.16975609756096;0.0;28;14.113821138211382;204.83189655172413;24.28950276243094;238.06614349775785;
205.87101910828025;205;199.04338140461954;185.843853820598;187.66284257488846;185.74754558204768;212;235.74558734023128;220.1755933627389;227.54743223965764;98.04383561643836;150;0.0;115;111;215;237.8726779967252;3.548617886178862;217.69968253968253;203;146.4079457364341;224.98602050326187;84;175.2475884244373;133.87675585284282;220;200.35341581495427;0.0;204.09138082673704;226;132.4732824427481;140.44450610432852;171.60945529290854;140.071696094168;213;219.95430312261996;211.64395306859205;142.60335195530726;224.03307529908514;168.9065010956903;89;168;130.64805825242718;221;79;156;227.49329758713137;183.5456475583864;220.93576526566218;148.8060606060606;142;139.65922521339462;191.75601374570448;162.14345991561183;0.0;193.21984924623115;152.23122765196663;0.0;210.43006660323502;62;1.0992275698158052;0.0;147;101;124.28174807197944;208.50786255096097;194;206.95051546391753;0.0;62;221.06142322097378;216.54606451612904;32.87008086253369;109;46;122;124.0;96;199.60692588092346;231;0.0;164.9515859766277;250;194.78662790697675;223.96498599439775;7.732342007434944;97;134.52152032843333;86;216;252;0.32961190855927697;99;186.65365853658537;161.0961038961039;176;227.65853658536585;205.6293103448276;2.9591160220994475;234.87107623318386;
213.17675159235668;186;199.32430531129089;185.843853820598;131.87635436583813;177.50911640953717;230;240.18624467437616;224.68409997899602;234.8141940085592;48.24109589041096;247;0.0;41;207;122;240.45539495228954;6.1294308943089435;217.1809523809524;84;148.63081395348837;228.65144454799628;253;176.05305466237942;126.61003344481605;236;206.79558902635824;0.2164048865619546;200.10026385224273;123;151.6417302798982;135.2286348501665;171.5080507022953;132.51203852327447;250;227.07311500380808;215.3490523465704;124.0;223.9408866995074;18.531775018261506;225;35;126.55582524271844;106;43;228;212.8230563002681;184.5488322717622;221.02616970658207;138.57373737373737;237;124.19435325016416;200.17697594501718;166.01012658227847;147.10192525481312;196.40201005025125;147.5566150178784;0.0;201.4196003805899;125;1.0406020994256289;0.0;44;208;119.63907455012854;209.075131042516;242;217.02061855670104;0.0;121;230.83370786516855;204.18683870967743;14.825876010781672;121;113;141;124.16335540838853;253;193.7147630619684;192;0.0;158.7278797996661;96;176.76976744186047;233.79131652661064;7.4572490706319705;226;203.94027281154814;180;94;171;26.995215311004785;105;195.8;142.06753246753246;94;200.58536585365854;205.6293103448276;7.2066298342541435;234.8071748878924;
214.6464968152866;103;201.6219955446125;185.843853820598;128.66921606118547;182.78120617110798;208;240.18624467437616;226.5933627389204;237.47717546362338;100.3890410958904;17;0.0;214;42;4;234.0376602111682;6.1294308943089435;214.1015873015873;114;157.5140503875969;228.3327120223672;251;175.9614147909968;130.897491638796;10;207.87573964497042;0.4328097731239092;207.82088830255057;111;163.84325699745548;213.93951165371809;184.94587187392943;153.4617442482611;82;226.1744097486672;216.73443140794222;40.4096834264432;226.64039408866995;0.0;156;163;141.87135922330097;43;50;59;0.0;185.43205944798302;221.07137192704204;136.06868686868688;178;147.26920551543006;194.1340206185567;165.49113924050633;172.77123442808607;197.03140703517587;153.99523241954708;0.0;188.3672692673644;45;1.0358486829075064;0.0;34;219;177.1362467866324;215.9004076878276;13;203.17319587628867;0.0;127;227.34157303370787;143.64387096774195;25.561185983827492;144;230;21;134.92604856512142;52;190.71597812879708;14;0.0;162.61903171953256;182;126.53720930232558;235.52100840336135;7.4572490706319705;100;222.37544696066746;36;141;194;135.217437533227;200;189.3580487804878;0.0;5;14.113821138211382;204.51293103448276;9.760220994475137;238.06614349775785;
184.11305732484075;101;0.0;0.0;188.74442319949011;1.5287517531556802;250;0.0;1.1568998109640831;231.3737517831669;130.48767123287672;241;0.0;224;188;228;234.4474902602902;0.0;0.0;113;133.40503875968992;231.04193849021436;124;162.3183279742765;127.63578595317726;67;0.5734265734265734;0.1082024432809773;204.51222515391382;25;131.05445292620865;141.9433962264151;197.82288454950324;164.14767255216694;18;6.105864432597106;0.0;152.6629422718808;228.96692470091486;121.1972242512783;246;93;81.47330097087378;95;68;182;222.67962466487936;182.34819532908705;226.9746233148295;0.0;230;17.423506237688773;191.75601374570448;171.44725738396625;8.987542468856173;205.37688442211055;0.0;0.0;196.38867745004757;22;195.51752822341058;0.0;194;71;114.42570694087404;0.302853814793244;88;206.95051546391753;213.03174603174602;81;0.0;219.97522580645162;10.949326145552561;96;225;65;123.72626931567329;18;161.89398541919806;165;217.04884318766068;2.8153589315525878;59;184.33662790697673;0.0;225.3345724907063;162;132.43239306052178;229;185;113;4.15311004784689;223;103.8790243902439;173.3974025974026;15;17.70731707317073;72.09913793103448;163.55248618784532;239.08856502242153;
191.53662420382165;85;0.0;0.0;138.05481198215423;1.2173913043478262;74;0.0;1.2295736189876076;237.54885877318117;91.55616438356165;169;0.0;143;24;227;236.4114109875219;0.0;0.0;210;132.50872093023256;235.45107176141659;172;163.4807073954984;125.0494983277592;174;0.3335126412049489;0.4328097731239092;202.62233948988566;157;152.48244274809161;133.9811320754717;193.08941418293935;163.42857142857142;129;6.231530845392231;0.0;124.2756052141527;228.926812104152;17.04601899196494;187;242;66.51456310679612;240;217;31;212.8230563002681;183.35138004246284;227.15543219666932;0.0;180;17.423506237688773;200.17697594501718;170.53333333333333;123.64326160815402;210.90452261306532;0.0;0.0;183.69790675547097;232;188.31431966726083;0.0;182;166;117.62467866323908;0.302853814793244;186;217.02061855670104;213.18253968253967;179;0.0;207.61625806451613;4.411859838274933;44;181;20;115.65121412803532;220;160.69987849331713;194;217.04884318766068;2.8153589315525878;20;163.87151162790698;0.0;225.05947955390334;169;198.60746920937623;37;137;65;12.854864433811802;158;112.89756097560975;154.36883116883118;115;17.70731707317073;72.09913793103448;162.60994475138122;239.02466367713004;
