LogR;LogC;Rank;Counter;Pattern;Class
2,149219;2,506505;141;321;198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,198,255,198,198,255,198,198,255,;0
2,152288;2,502427;142;318;124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,198,198,198,198,198,198,198,198,198,;1
2,155336;2,499687;143;316;255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,198,198,255,198,198,255,198,198,;0
2,158362;2,494155;144;312;255,198,198,255,198,198,255,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,;1
2,161368;2,494155;145;312;198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,0,0,0,0,0,0,0,0,0,;1
2,164353;2,492760;146;311;124,124,198,124,124,198,124,124,198,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,;0
2,167317;2,492760;147;311;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,;1
2,170262;2,487138;148;307;198,0,0,198,0,0,198,0,0,198,0,0,198,0,0,198,0,0,198,0,0,198,0,0,198,0,0,;0
2,173186;2,487138;149;307;0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,;1
2,176091;2,485721;150;306;0,0,0,0,0,0,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,;1
2,178977;2,475671;151;299;255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,;1
2,181844;2,474216;152;298;198,198,255,198,198,255,198,198,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,;0
2,184691;2,472756;153;297;198,255,255,198,255,255,198,255,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,;0
2,187521;2,471292;154;296;198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,255,255,255,255,255,255,255,255,255,;1
2,190332;2,471292;155;296;124,198,255,124,198,255,124,198,255,124,198,255,124,198,255,124,198,255,124,198,255,124,198,255,124,198,255,;0
